name,pos,cog,interPos,mass,wvol
 =21945/49716,X 77249mm Y 5095mm Z 37220mm,X 82155mm Y 5095mm Z 37520mm,,0,0+0+0+0+0+0
 =21945/49732,X 78083mm Y 5576mm Z 37262mm,X 82977mm Y 5576mm Z 37561mm,,0,0+0+0+0+0+0
 =21945/323260,X 84086mm Y 2612mm Z 38069mm,X 91005mm Y 3505mm Z 38269mm,,4E-06,84025.8+2095.3+37659+84145.8+3127.7+38481.4
 =21945/500137,X 82966mm Y 4050mm Z 38069mm,X 91005mm Y 3505mm Z 38269mm,,4E-06,82449.8+3990+37659+83482.2+4110+38481.4
 =30137/129585,X 91655mm Y 2093mm Z 38641mm,X 97655mm Y 1616mm Z 38892mm,,0,91646+1178.7+38641+91664+2084.8+38741
 =38329/18770,X 91696mm Y 2186mm Z 39405mm,X 97646mm Y 1609mm Z 39854mm,,0,91687+1540.4+39405+91705+2178.9+39505
 =21945/592909,X 76660mm Y -315mm Z 37640mm,X 76899mm Y -265mm Z 37640mm,,0,76669.3+-315+37631+77127.9+-215+37649
 =21945/593061,X 94360mm Y 8035mm Z 37640mm,X 94599mm Y 8085mm Z 37640mm,,0,94369.3+8035+37631+94827.9+8135+37649
 =21945/611254,X 94360mm Y 8685mm Z 37640mm,X 94599mm Y 8735mm Z 37640mm,,0,94369.3+8685+37631+94827.9+8785+37649
 =21945/611434,X 94360mm Y 10535mm Z 37640mm,X 94599mm Y 10585mm Z 37640mm,,0,94369.3+10535+37631+94827.9+10635+37649
 =21945/611500,X 76660mm Y 585mm Z 38417mm,X 76899mm Y 635mm Z 38417mm,,0,76669.3+585+38407.5+77127.9+685+38425.5
 =21945/611566,X 76660mm Y -665mm Z 38417mm,X 76899mm Y -615mm Z 38417mm,,0,76669.3+-665+38407.5+77127.9+-565+38425.5
 =21945/451060,X 92324mm Y 1400mm Z 36359mm,X 82155mm Y 5095mm Z 37520mm,,0,0+0+0+0+0+0
