name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =87481/730,TUBI,X 111095mm Y -9040mm Z 31063mm,X 111095mm Y -9040mm Z 30932mm,X 111095mm Y -9040mm Z 31194mm,XA-103-25A_001/B2,33.4,3.38,   0.000   1.000   0.000,,,0,0,,0.6623,111038.3+-9096.7+30932.5+111151.7+-8983.3+31194.5,,40,A312_TP304L
 =87481/728,ELBO,X 111095mm Y -9040mm Z 31233mm,X 111057mm Y -9040mm Z 31233mm,X 111095mm Y -9040mm Z 31194mm,XA-103-25A_001/B2,33.4,3.38,   0.000   1.000   0.000,X 111084mm Y -9040mm Z 31222mm,,0,0,,0.15,111038.2+-9096.8+31175.8+111151.8+-8983.2+31289.3,,40,A312_TP304L
 =30137/1702810,TUBI,X 110917mm Y -9040mm Z 31233mm,X 111057mm Y -9040mm Z 31233mm,X 110778mm Y -9040mm Z 31233mm,XA-103-25A_001/B2,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.7048,110778.1+-9096.7+31175.9+111056.9+-8983.3+31289.3,,40,A312_TP304L
 =21945/708575,ELBO,X 110740mm Y -9040mm Z 31233mm,X 110778mm Y -9040mm Z 31233mm,X 110740mm Y -9002mm Z 31233mm,XA-103-25A_001/B2,33.4,3.38,   0.000   0.000  -1.000,X 110751mm Y -9029mm Z 31233mm,,0,0,,0.15,110683.2+-9096.8+31175.8+110796.8+-8983.2+31289.3,,40,A312_TP304L
 =30137/1702812,TUBI,X 110740mm Y -8469mm Z 31233mm,X 110740mm Y -9002mm Z 31233mm,X 110740mm Y -7936mm Z 31233mm,XA-103-25A_001/B2,33.4,3.38,   0.000   0.000   1.000,,,0,0,,2.6944,110683.3+-9001.9+31175.9+110796.7+-7936.1+31289.3,,40,A312_TP304L
 =21945/2403277,UBOLT,X 110740mm Y -8437mm Z 31233mm,X 110740mm Y -8437mm Z 31233mm,X 110740mm Y -8437mm Z 31233mm,XA-103-25A_001/B2,0,0,   0.000   0.000   1.000,,,0,0,13,0.8,110638.5+-8457.5+31122.1+110841.5+-8417.5+31312.1,,40,
 =21945/708541,ELBO,X 110740mm Y -7898mm Z 31233mm,X 110740mm Y -7936mm Z 31233mm,X 110740mm Y -7898mm Z 31271mm,XA-103-25A_001/B2,33.4,3.38,   1.000   0.000   0.000,X 110740mm Y -7909mm Z 31244mm,,0,0,,0.15,110683.2+-7954.7+31175.8+110796.8+-7841.2+31289.3,,40,A312_TP304L
 =21945/708542,FLAN,X 110740mm Y -7898mm Z 31326mm,X 110740mm Y -7898mm Z 31271mm,X 110740mm Y -7898mm Z 31326mm,XA-103-25A_001/B2,33.4,3.38,  -1.000   0.000   0.000,,,0,0,,1.04,110646+-7991.9+31270.7+110834+-7804+31326.1,,40,A312_TP304L
 =21945/708544,VALV,X 110740mm Y -7898mm Z 31431mm,X 110740mm Y -7898mm Z 31331mm,X 110740mm Y -7798mm Z 31431mm,XA-103-25A_001/B2,0,0,,,,0,0,,6,110685+-7953+31330.6+110795+-7798+31838.6,,40,
 =71097/8566,TUBI,X 114415mm Y -8405mm Z 31063mm,X 114415mm Y -8405mm Z 30932mm,X 114415mm Y -8405mm Z 31194mm,XA-103-25A_002/B3,33.4,3.38,   0.000   1.000   0.000,,,0,0,,0.6623,114358.3+-8461.7+30932.5+114471.7+-8348.3+31194.5,,40,A312_TP304L
