name,type,pos,poss,pose,size,stru,ori,division,weld
 =21945/777696,SCTN,X 110720mm Y -4705mm Z 30451mm,X 110720mm Y -4705mm Z 30451mm,X 110720mm Y -6975mm Z 30451mm,ANG_75x75x6,=21945/777694,   0.000   0.000  -1.000,SUPP,
 =21945/777703,SCTN,X 111360mm Y -4705mm Z 30451mm,X 111360mm Y -4705mm Z 30451mm,X 111360mm Y -6975mm Z 30451mm,ANG_75x75x6,=21945/777694,  -1.000   0.000   0.000,SUPP,
 =21945/777709,SCTN,X 110726mm Y -5805mm Z 30451mm,X 110726mm Y -5805mm Z 30451mm,X 111354mm Y -5805mm Z 30451mm,ANG_75x75x6,=21945/777694,   0.000  -1.000   0.000,SUPP,
 =21945/820088,SCTN,X 112065mm Y -9665mm Z 30451mm,X 112065mm Y -9665mm Z 30451mm,X 112065mm Y -9485mm Z 30451mm,ANG_130x130x12,=30137/314172,   1.000   0.000   0.000,SUPP,
 =21945/820090,SCTN,X 112065mm Y -8795mm Z 31159mm,X 112065mm Y -8795mm Z 31159mm,X 112065mm Y -8275mm Z 31159mm,ANG_65x65x6,=21945/820078,   1.000   0.000   0.000,SUPP,
 =21945/820091,SCTN,X 112065mm Y -8795mm Z 31159mm,X 112065mm Y -8795mm Z 31159mm,X 112065mm Y -8795mm Z 30451mm,ANG_65x65x6,=21945/820078,   0.000   1.000   0.000,SUPP,
 =21945/2202408,SCTN,X 115500mm Y -1500mm Z 30301mm,X 115500mm Y -1500mm Z 30301mm,X 115500mm Y -1500mm Z 29980mm,TUBE_165.2x7.1,=21945/2202406,   0.000   1.000   0.000,SUPP,
 =21945/2202411,SCTN,X 110840mm Y -1500mm Z 30301mm,X 110840mm Y -1500mm Z 30301mm,X 110840mm Y -1500mm Z 29980mm,TUBE_165.2x7.1,=21945/2202406,   0.000   1.000   0.000,SUPP,
 =21945/2202414,SCTN,X 113190mm Y -1500mm Z 30301mm,X 113190mm Y -1500mm Z 30301mm,X 113190mm Y -1500mm Z 29980mm,TUBE_165.2x7.1,=21945/2202406,   0.000   1.000   0.000,SUPP,
 =21945/2202417,SCTN,X 110705mm Y -1500mm Z 30376mm,X 110705mm Y -1500mm Z 30376mm,X 115955mm Y -1500mm Z 30376mm,BEAM_150x150x7x10,=21945/2202406,   0.000  -1.000   0.000,SUPP,
 =21945/2202948,SCTN,X 115500mm Y -4485mm Z 30301mm,X 115500mm Y -4485mm Z 30301mm,X 115500mm Y -4485mm Z 29897mm,TUBE_165.2x7.1,=21945/2202946,   0.000   1.000   0.000,SUPP,
 =21945/2202951,SCTN,X 110840mm Y -4485mm Z 30301mm,X 110840mm Y -4485mm Z 30301mm,X 110840mm Y -4485mm Z 29897mm,TUBE_165.2x7.1,=21945/2202946,   0.000   1.000   0.000,SUPP,
 =21945/2202954,SCTN,X 113190mm Y -4485mm Z 30301mm,X 113190mm Y -4485mm Z 30301mm,X 113190mm Y -4485mm Z 29897mm,TUBE_165.2x7.1,=21945/2202946,   0.000   1.000   0.000,SUPP,
 =21945/2202957,SCTN,X 110705mm Y -4485mm Z 30376mm,X 110705mm Y -4485mm Z 30376mm,X 115955mm Y -4485mm Z 30376mm,BEAM_150x150x7x10,=21945/2202946,   0.000  -1.000   0.000,SUPP,
 =21945/2203241,SCTN,X 115500mm Y -7195mm Z 30301mm,X 115500mm Y -7195mm Z 30301mm,X 115500mm Y -7195mm Z 29822mm,TUBE_165.2x7.1,=21945/2203239,   0.000   1.000   0.000,SUPP,
 =21945/2203244,SCTN,X 110840mm Y -7195mm Z 30301mm,X 110840mm Y -7195mm Z 30301mm,X 110840mm Y -7195mm Z 29822mm,TUBE_165.2x7.1,=21945/2203239,   0.000   1.000   0.000,SUPP,
 =21945/2203247,SCTN,X 113190mm Y -7195mm Z 30301mm,X 113190mm Y -7195mm Z 30301mm,X 113190mm Y -7195mm Z 29822mm,TUBE_165.2x7.1,=21945/2203239,   0.000   1.000   0.000,SUPP,
 =21945/2203250,SCTN,X 110340mm Y -7195mm Z 30376mm,X 110340mm Y -7195mm Z 30376mm,X 115995mm Y -7195mm Z 30376mm,BEAM_150x150x7x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341434,SCTN,X 115182mm Y -7150mm Z 31007mm,X 115182mm Y -7150mm Z 31007mm,X 115948mm Y -7150mm Z 31007mm,ANG_90x90x10,=21945/2203239,   0.000   0.000   1.000,SUPP,
 =21945/2341437,SCTN,X 115286mm Y -7150mm Z 30997mm,X 115286mm Y -7150mm Z 30997mm,X 115286mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341438,SCTN,X 115844mm Y -7150mm Z 30997mm,X 115844mm Y -7150mm Z 30997mm,X 115844mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2341480,SCTN,X 114032mm Y -7150mm Z 31007mm,X 114032mm Y -7150mm Z 31007mm,X 114798mm Y -7150mm Z 31007mm,ANG_90x90x10,=21945/2203239,   0.000   0.000   1.000,SUPP,
 =21945/2341483,SCTN,X 114136mm Y -7150mm Z 30997mm,X 114136mm Y -7150mm Z 30997mm,X 114136mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341484,SCTN,X 114694mm Y -7150mm Z 30997mm,X 114694mm Y -7150mm Z 30997mm,X 114694mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2341526,SCTN,X 112876mm Y -7150mm Z 30870mm,X 112876mm Y -7150mm Z 30870mm,X 113504mm Y -7150mm Z 30870mm,ANG_90x90x10,=21945/2203239,   0.000   0.000   1.000,SUPP,
 =21945/2341529,SCTN,X 112980mm Y -7150mm Z 30860mm,X 112980mm Y -7150mm Z 30860mm,X 112980mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341530,SCTN,X 113400mm Y -7150mm Z 30860mm,X 113400mm Y -7150mm Z 30860mm,X 113400mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2341572,SCTN,X 112150mm Y -7150mm Z 30870mm,X 112150mm Y -7150mm Z 30870mm,X 112780mm Y -7150mm Z 30870mm,ANG_90x90x10,=21945/2203239,   0.000   0.000   1.000,SUPP,
 =21945/2341575,SCTN,X 112254mm Y -7150mm Z 30860mm,X 112254mm Y -7150mm Z 30860mm,X 112254mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341576,SCTN,X 112676mm Y -7150mm Z 30860mm,X 112676mm Y -7150mm Z 30860mm,X 112676mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2341618,SCTN,X 111332mm Y -7150mm Z 31007mm,X 111332mm Y -7150mm Z 31007mm,X 112098mm Y -7150mm Z 31007mm,ANG_90x90x10,=21945/2203239,   0.000   0.000   1.000,SUPP,
